example_id	analysis	panel_id	exposure_id	exposure	iv_threshold	n_instruments	n_outcomes	title	description
cvd__Apolipoprotein_A_levels__p5e_07	cvd_positive_control	cardiovascular_positive_control	Apolipoprotein_A_levels	Apolipoprotein A-I levels	5e-07	439	5	Apolipoprotein A-I levels against Cardiovascular positive-control panel	Processed manuscript-derived example with 439 harmonized complete-case instruments and 5 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
cvd__Apolipoprotein_A_levels__p5e_08	cvd_positive_control	cardiovascular_positive_control	Apolipoprotein_A_levels	Apolipoprotein A-I levels	5e-08	335	5	Apolipoprotein A-I levels against Cardiovascular positive-control panel	Processed manuscript-derived example with 335 harmonized complete-case instruments and 5 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
cvd__Apolipoprotein_B_levels__p5e_07	cvd_positive_control	cardiovascular_positive_control	Apolipoprotein_B_levels	Apolipoprotein B levels	5e-07	469	5	Apolipoprotein B levels against Cardiovascular positive-control panel	Processed manuscript-derived example with 469 harmonized complete-case instruments and 5 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
cvd__Apolipoprotein_B_levels__p5e_08	cvd_positive_control	cardiovascular_positive_control	Apolipoprotein_B_levels	Apolipoprotein B levels	5e-08	380	5	Apolipoprotein B levels against Cardiovascular positive-control panel	Processed manuscript-derived example with 380 harmonized complete-case instruments and 5 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
cvd__HDL_cholesterol_levels__p5e_07	cvd_positive_control	cardiovascular_positive_control	HDL_cholesterol_levels	HDL cholesterol levels	5e-07	520	5	HDL cholesterol levels against Cardiovascular positive-control panel	Processed manuscript-derived example with 520 harmonized complete-case instruments and 5 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
cvd__HDL_cholesterol_levels__p5e_08	cvd_positive_control	cardiovascular_positive_control	HDL_cholesterol_levels	HDL cholesterol levels	5e-08	405	5	HDL cholesterol levels against Cardiovascular positive-control panel	Processed manuscript-derived example with 405 harmonized complete-case instruments and 5 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
cvd__LDL_direct_levels__p5e_07	cvd_positive_control	cardiovascular_positive_control	LDL_direct_levels	LDL direct levels	5e-07	454	5	LDL direct levels against Cardiovascular positive-control panel	Processed manuscript-derived example with 454 harmonized complete-case instruments and 5 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
cvd__LDL_direct_levels__p5e_08	cvd_positive_control	cardiovascular_positive_control	LDL_direct_levels	LDL direct levels	5e-08	362	5	LDL direct levels against Cardiovascular positive-control panel	Processed manuscript-derived example with 362 harmonized complete-case instruments and 5 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
cvd__Lipoprotein_A_levels__p5e_07	cvd_positive_control	cardiovascular_positive_control	Lipoprotein_A_levels	Lipoprotein A levels	5e-07	39	5	Lipoprotein A levels against Cardiovascular positive-control panel	Processed manuscript-derived example with 39 harmonized complete-case instruments and 5 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
cvd__Lipoprotein_A_levels__p5e_08	cvd_positive_control	cardiovascular_positive_control	Lipoprotein_A_levels	Lipoprotein A levels	5e-08	31	5	Lipoprotein A levels against Cardiovascular positive-control panel	Processed manuscript-derived example with 31 harmonized complete-case instruments and 5 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
mvp72__ApoA1	mvp72	mvp_72_chronic_disease_outcomes	ApoA1	ApoA1	mvp72_primary	38	72	ApoA1 against MVP72 chronic disease panel	Processed manuscript-derived example with 38 harmonized complete-case instruments and 72 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
mvp72__ApoB	mvp72	mvp_72_chronic_disease_outcomes	ApoB	ApoB	mvp72_primary	32	72	ApoB against MVP72 chronic disease panel	Processed manuscript-derived example with 32 harmonized complete-case instruments and 72 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
mvp72__Basal_metabolic_rate	mvp72	mvp_72_chronic_disease_outcomes	Basal_metabolic_rate	Basal_metabolic_rate	mvp72_primary	97	72	Basal_metabolic_rate against MVP72 chronic disease panel	Processed manuscript-derived example with 97 harmonized complete-case instruments and 72 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
mvp72__Basophil_count	mvp72	mvp_72_chronic_disease_outcomes	Basophil_count	Basophil_count	mvp72_primary	12	72	Basophil_count against MVP72 chronic disease panel	Processed manuscript-derived example with 12 harmonized complete-case instruments and 72 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
mvp72__BMI	mvp72	mvp_72_chronic_disease_outcomes	BMI	BMI	mvp72_primary	68	72	BMI against MVP72 chronic disease panel	Processed manuscript-derived example with 68 harmonized complete-case instruments and 72 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
mvp72__Body_fat_percentage	mvp72	mvp_72_chronic_disease_outcomes	Body_fat_percentage	Body_fat_percentage	mvp72_primary	66	72	Body_fat_percentage against MVP72 chronic disease panel	Processed manuscript-derived example with 66 harmonized complete-case instruments and 72 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
mvp72__Body_weight	mvp72	mvp_72_chronic_disease_outcomes	Body_weight	Body_weight	mvp72_primary	75	72	Body_weight against MVP72 chronic disease panel	Processed manuscript-derived example with 75 harmonized complete-case instruments and 72 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
mvp72__Chronotype	mvp72	mvp_72_chronic_disease_outcomes	Chronotype	Chronotype	mvp72_primary	22	72	Chronotype against MVP72 chronic disease panel	Processed manuscript-derived example with 22 harmonized complete-case instruments and 72 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
